"gen","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
1601,0.11060003180476824,0.00021926144913716312,0.0002976339009362945,0.11354118150136425,0.00030046146675120216,0.12290917536859615,0.11776859305743362,0.09797509807037863,0.10293360382213562,0.10676243872083835,0.10292219792062944,0.000208562386989233,0.12356176053004199
1621,0.11060496413583915,0.00021926917836468198,0.00029765928408114297,0.1135410332905331,0.0003004852401549886,0.12292007671782533,0.11777455975508036,0.09796689023789995,0.10292316365631043,0.10675898069014038,0.10291187022010814,0.00020857055900135458,0.12357247703466122
1641,0.11060981940780919,0.00021927679797772634,0.0002976843295073796,0.11354088165580305,0.0003005087050510118,0.12293084501428295,0.11778044668933575,0.09795878977222808,0.10291286360396334,0.10675555968185876,0.10290168089897953,0.00020857862278105254,0.1235830648204222
1661,0.11061459880529058,0.00021928430952967921,0.0002977090416756559,0.11354072670979383,0.00030053186541473427,0.12294148187946423,0.11778625492329506,0.09795079526484486,0.10290270177307734,0.10675217532770133,0.10289162809191091,0.0002085865797642014,0.1235935254282376
1681,0.11061930349493677,0.00021929171455207255,0.00029773342498892866,0.11354056856280005,0.00030055472517138314,0.12295198891513168,0.11779198550593024,0.09794290532575199,0.10289267629732603,0.10674882726255713,0.10288170995885093,0.00020859443136771427,0.12360386038063521
1701,0.11062393462571075,0.00021929901455488866,0.00029775748379316926,0.11354040732283213,0.00030057728819655793,0.12296236770355537,0.11779763947227646,0.09793511858322737,0.10288278533572338,0.10674551512447734,0.1028719246846857,0.00020860217898978936,0.12361407118197698
1721,0.11062849332914998,0.00021930621102685805,0.00029778122237806453,0.11354024309565676,0.0003005995583168275,0.12297261980774989,0.11780321784361722,0.09792743368358499,0.10287302707227872,0.10674223855465675,0.10286227047889923,0.0002086098240101527,0.1236241593186747
1741,0.11063298071962659,0.0002193133054357513,0.0002978046449777094,0.1135400759848359,0.00030062153931032285,0.12298274677170846,0.11780872162766559,0.09791984929093672,0.10286339971565507,0.10673899719741446,0.10285274557523878,0.00020861736779029754,0.12363412625940426
1761,0.11063739789460456,0.00021932029922867006,0.00029782775577129436,0.11353990609176697,0.00030064323490732326,0.12299275012063404,0.11781415181874431,0.09791236408695879,0.10285390149883349,0.10673579070017543,0.10284334823138484,0.00020862481167372224,0.12364397345531652
1781,0.11064174593489262,0.0002193271938323317,0.0002978505588837827,0.11353973351572007,0.00030066464879083537,0.12300263136116774,0.11781950939796297,0.09790497677065996,0.10284453067878147,0.10673261871345131,0.10283407672862517,0.00020863215698616353,0.12365370234024546
1801,0.11064602590489364,0.00021933399065335118,0.000297873058386582,0.11353955835387641,0.00030068578459716656,0.12301239198161489,0.11782479533339271,0.09789768605815351,0.10283528553612584,0.10672948089082127,0.10282492937153395,0.00020863940503582773,0.12366331433091482
1821,0.11065023885284994,0.00021934069107851993,0.0002978952582982081,0.11353938070136507,0.0003007066459164933,0.12302203345216743,0.11783001058023905,0.09789049068243226,0.10282616437483026,0.10672637688891305,0.10281590448765424,0.00020864655711361928,0.12367281082714189
1841,0.11065438581108582,0.00021934729647507908,0.0002979171625849412,0.11353920065129965,0.00030072723629341933,0.12303155722512439,0.1178351560810124,0.09788338939314607,0.10281716552187696,0.1067233063673839,0.10280700042718596,0.00020865361449336558,0.1236821932120381
1861,0.11065846779624552,0.00021935380819099117,0.0002979387751614748,0.11353901829481428,0.0003007475592275331,0.12304096473510948,0.11784023276569555,0.09787638095638268,0.10280828732695313,0.10672026898890144,0.10279821556267747,0.00020866057843203968,0.12369146285220825
1881,0.11066248580952871,0.0002193602275552073,0.0002979600998915585,0.11353883372109881,0.0003007676181739555,0.1230502573992858,0.1178452415519103,0.09786946415445154,0.10279952816214105,0.1067172644191244,0.10278954828872156,0.0002086674501699804,0.123700621097947
