"gen","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
1421,0.0001800660608371766,0.005405939570572034,0.00034124769578934105,0.0009198095568682855,0.0008342239796006752,0.00038495192703325444,0.0004756871385206822,0.0067163317810023885,0.9763577420278363,0.00035289562494656947,0.006367505317643965,0.001158042580299619,0.000505556739049687
1441,0.00018006605383379543,0.005405930878394746,0.0003412476867120495,0.000919809532861818,0.0008342239585844443,0.0003849519169400998,0.0004756871183612529,0.006716316443769273,0.9763578104269535,0.0003528956181692978,0.0063674611029022055,0.0011580425352455982,0.0005055567272720315
1461,0.000180066048261499,0.005405924216602645,0.000341247679479456,0.0009198095136879473,0.000834223941851352,0.0003849519088792248,0.00047568710231092164,0.006716304188193518,0.9763578642974725,0.00035289561276551914,0.0063674262731016245,0.0011580424995224253,0.000505556717871359
1481,0.00018006604382778203,0.005405919108147585,0.00034124767371651734,0.0009198094983745793,0.0008342239285274764,0.000384951902441741,0.00047568708953174153,0.006716294395330737,0.9763579067338801,0.00035289560845680636,0.0063673988362024665,0.0011580424711944465,0.0005055567103681279
1501,0.00018006604029993854,0.00540591518867425,0.00034124766912447613,0.0009198094861449784,0.0008342239179174483,0.00038495189730094955,0.0004756870793567283,0.0067162865704981185,0.9763579401695748,0.0003528956050211904,0.006367377222979397,0.00115804244872829,0.0005055567043794953
1521,0.0001800660374928351,0.005405912179766164,0.000341247665465338,0.0009198094763785601,0.0008342239094679209,0.00038495189319584007,0.00047568707125496295,0.006716280318338446,0.9763579665185642,0.00035289560228170903,0.006367360197285238,0.0011580424309090914,0.0005055566995998303
1541,0.00018006603525918296,0.005405909868572039,0.0003412476625495032,0.0009198094685795256,0.0008342239027385113,0.00038495188991789683,0.00047568706480381816,0.0067162753228856295,0.9763579872866797,0.0003528956000972772,0.006367346785357465,0.0011580424167742058,0.0005055566957851497
1561,0.00018006603348180069,0.005405908092284646,0.0003412476602259235,0.0009198094623517954,0.0008342238973787096,0.00038495188730055147,0.0004756870596668589,0.006716271331629202,0.9763580036588967,0.0003528955983554105,0.00636733622012725,0.001158042405560737,0.0005055566927406885
1581,0.0001800660320674583,0.005405906726311614,0.0003412476583742577,0.0009198094573789717,0.0008342238931095078,0.000384951885210752,0.0004756870555762546,0.006716268142775882,0.9763580165679061,0.0003528955969664264,0.00636732789734775,0.0011580423966640174,0.0005055566903109767
1601,0.00018006603094198088,0.00540590567525618,0.00034124765689862787,0.0009198094534083241,0.0008342238897087998,0.0003849518835422273,0.00047568705231878426,0.006716265595067245,0.9763580267479887,0.0003528955958588207,0.006367321341033639,0.0011580423896047308,0.0005055566883719166
1621,0.00018006603004635277,0.005405904866037302,0.00034124765572264223,0.0009198094502379872,0.000834223886999758,0.0003849518822100978,0.0004756870497246939,0.006716263559640634,0.9763580347773417,0.00035289559497558094,0.006367316176235832,0.0011580423840028794,0.0005055566868244523
1641,0.00018006602933361873,0.005405904242639478,0.00034124765478543446,0.0009198094477067321,0.0008342238848415934,0.0003849518811465763,0.0004756870476588338,0.006716261933523725,0.9763580411113513,0.00035289559427124917,0.006367312107594917,0.0011580423795571713,0.0005055566855895195
1661,0.00018006602876641868,0.005405903762104289,0.0003412476540385063,0.0009198094456857897,0.0008342238831222007,0.00038495188029752636,0.00047568704601359883,0.006716260634434816,0.9763580461087481,0.0003528955937095793,0.006367308902446678,0.0011580423760286867,0.0005055566846040128
1681,0.00018006602831502659,0.005405903391468633,0.0003412476534432139,0.0009198094440723248,0.0008342238817523097,0.0003849518796197168,0.0004756870447033142,0.006716259596627049,0.9763580500521776,0.0003528955932616706,0.00636730637751378,0.0011580423732279524,0.0005055566838175655
1701,0.0001800660279557896,0.00540590310542487,0.0003412476529687635,0.0009198094427842113,0.000834223880660826,0.0003849518790786251,0.00047568704365976133,0.006716258767566854,0.9763580531643788,0.0003528955929044774,0.006367304388422251,0.0011580423710046857,0.0005055566831899782
